ID,course_name,
511,Complete Python Program - Exploring Data Science and Web Development,complete-python-program-in-data-science-web-development
504,DSA to Development: A Complete Guide,dsa-to-development-coding-guide
503,Mastering System Design: From Low-Level to High-Level Solutions,mastering-system-design-low-level-to-high-level-solutions
500,MERN Full Stack Web Development,mern-full-stack-development-classroom
499,DSA for Interview Preparation,dsa-interview-preparation-classroom
486,Python Backend Development with Django - Live,py-dev-django
483,DevOps Engineering - Planning to Production,devops-live
468,CBSE Class 12 Computer Science,CS-12
463,Data Structures & Algorithms in JavaScript - Self Paced,data-structures-and-algorithms-in-javascript
451,Master Competitive Programming - Complete Beginner to Advanced,competitive-programming-cp
449,Breaking into Product Management,breaking-into-product-management
439,Complete Bootstrap Course For Beginners,bootstrap
432,Complete Test Series for Product-Based Companies,complete-test-series-product-companies
422,Complete Test Series for Service-Based Companies,service-test-series
405,Complete Machine Learning & Data Science Program,data-science-live
404,Data Science BootCamp,fork-data-science-course
402,GATE CS & IT 2024,gate-live-course
393,School Guide: Learning Roadmap For Young Geeks,school-guide-course
383,Full Stack Bootcamp,full-stack-bootcamp
345,Master JavaScript - Complete Beginner to Advanced,javascript
287,Master C Programming with Data Structures,c-Programming-basic-to-advanced
270,Master Java Programming - Complete Beginner to Advanced,Java-Programming-basic-to-advanced
261,Data Structures & Algorithms in Python - Self Paced,Data-Structures-With-Python
256,Python Programming Foundation - Self Paced,Python-Foundation
252,OS DBMS CN for SDE Interview Preparation,SDE-theory
244,Complete Interview Preparation - Self Paced,complete-interview-preparation
241,Full Stack Development with React & Node JS - Live,full-stack-node
227,JAVA Backend Development - Live,Java-backend-live
221,Master C++ Programming - Complete Beginner to Advanced,cpp-programming-basic-to-advanced
204,DSA Live for Working Professionals - Live,geeks-classes-live
198,Data Structures and Algorithms - Self Paced,dsa-self-paced
172,Fork Python Programming - Self Paced,fork-python
168,Fork Java Programming - Self Paced,fork-java
167,Fork CPP Programming - Self Paced,fork-cpp
